test,source
SchemaValidator.Schema_UnknownDraftOverride,test/unittest/schematest.cpp:3110
SchemaValidator.Schema_UnsupportedDraftOverride,test/unittest/schematest.cpp:3121
SchemaValidator.Schema_UnknownDraft,test/unittest/schematest.cpp:3132
SchemaValidator.Schema_UnknownDraftNotString,test/unittest/schematest.cpp:3143
SchemaValidator.Schema_UnsupportedDraft3,test/unittest/schematest.cpp:3154
SchemaValidator.Schema_UnsupportedDraft6,test/unittest/schematest.cpp:3165
SchemaValidator.Schema_UnsupportedDraft7,test/unittest/schematest.cpp:3175
SchemaValidator.Schema_UnsupportedDraft2019_09,test/unittest/schematest.cpp:3186
SchemaValidator.Schema_UnsupportedDraft2020_12,test/unittest/schematest.cpp:3197
SchemaValidator.Schema_SupportedVersion20Static,test/unittest/schematest.cpp:3208
SchemaValidator.Schema_SupportedVersion20,test/unittest/schematest.cpp:3219
SchemaValidator.Schema_SupportedVersion30x,test/unittest/schematest.cpp:3230
SchemaValidator.Schema_SupportedVersionOverride,test/unittest/schematest.cpp:3241
SchemaValidator.Schema_UnknownVersionOverride,test/unittest/schematest.cpp:3252
SchemaValidator.Schema_UnsupportedVersionOverride,test/unittest/schematest.cpp:3263
SchemaValidator.Schema_UnknownVersion,test/unittest/schematest.cpp:3274
SchemaValidator.Schema_UnknownVersionShort,test/unittest/schematest.cpp:3285
SchemaValidator.Schema_UnknownVersionNotString,test/unittest/schematest.cpp:3296
SchemaValidator.Schema_UnsupportedVersion31,test/unittest/schematest.cpp:3307
SchemaValidator.Schema_DraftAndVersion,test/unittest/schematest.cpp:3318
SchemaValidator.Schema_StartUnknown,test/unittest/schematest.cpp:3327
SchemaValidator.Schema_MultipleErrors,test/unittest/schematest.cpp:3335
SchemaValidator.Schema_RefPlainNameOpenApi,test/unittest/schematest.cpp:3346
SchemaValidator.Schema_RefPlainNameRemote,test/unittest/schematest.cpp:3355
SchemaValidator.Schema_RefEmptyString,test/unittest/schematest.cpp:3365
SchemaValidator.Schema_RefNoRemoteProvider,test/unittest/schematest.cpp:3374
SchemaValidator.Schema_RefNoRemoteSchema,test/unittest/schematest.cpp:3383
SchemaValidator.Schema_RefPointerInvalid,test/unittest/schematest.cpp:3393
SchemaValidator.Schema_RefPointerInvalidRemote,test/unittest/schematest.cpp:3402
SchemaValidator.Schema_RefUnknownPlainName,test/unittest/schematest.cpp:3412
SchemaValidator.Schema_RefUnknownPointer,test/unittest/schematest.cpp:3421
SchemaValidator.Schema_RefUnknownPointerRemote,test/unittest/schematest.cpp:3430
SchemaValidator.Schema_RefCyclical,test/unittest/schematest.cpp:3440
SchemaValidator.Schema_ReadOnlyAndWriteOnly,test/unittest/schematest.cpp:3455
SchemaValidator.ReadOnlyWhenWriting,test/unittest/schematest.cpp:3465
SchemaValidator.WriteOnlyWhenReading,test/unittest/schematest.cpp:3487
SchemaValidator.NullableTrue,test/unittest/schematest.cpp:3509
SchemaValidator.NullableFalse,test/unittest/schematest.cpp:3540
SchemaValidatingReader.Simple,test/unittest/schematest.cpp:2293
SchemaValidatingReader.Invalid,test/unittest/schematest.cpp:2308
SchemaValidatingWriter.Simple,test/unittest/schematest.cpp:2337
Schema.Issue848,test/unittest/schematest.cpp:2370
Schema.Issue552,test/unittest/schematest.cpp:2385
SIMD.SkipWhitespace_SSE42,test/unittest/simdtest.cpp:77
SIMD.SkipWhitespace_EncodedMemoryStream_SSE42,test/unittest/simdtest.cpp:82
SIMD.ScanCopyUnescapedString_SSE42,test/unittest/simdtest.cpp:164
SIMD.ScanWriteUnescapedString_SSE42,test/unittest/simdtest.cpp:169
StrFunc.CountStringCodePoint,test/unittest/strfunctest.cpp:21
StringBuffer.InitialSize,test/unittest/stringbuffertest.cpp:26
StringBuffer.Put,test/unittest/stringbuffertest.cpp:33
StringBuffer.PutN_Issue672,test/unittest/stringbuffertest.cpp:42
StringBuffer.Clear,test/unittest/stringbuffertest.cpp:51
StringBuffer.Push,test/unittest/stringbuffertest.cpp:63
StringBuffer.Pop,test/unittest/stringbuffertest.cpp:75
StringBuffer.GetLength_Issue744,test/unittest/stringbuffertest.cpp:89
StringBuffer.MoveConstructor,test/unittest/stringbuffertest.cpp:141
StringBuffer.MoveAssignment,test/unittest/stringbuffertest.cpp:169
Strtod.CheckApproximationCase,test/unittest/strtodtest.cpp:28
Uri.DefaultConstructor,test/unittest/uritest.cpp:32
Uri.Parse,test/unittest/uritest.cpp:51
Uri.Parse_UTF16,test/unittest/uritest.cpp:158
Uri.Parse_Std,test/unittest/uritest.cpp:267
Uri.Parse_UTF16_Std,test/unittest/uritest.cpp:283
Uri.CopyConstructor,test/unittest/uritest.cpp:301
Uri.Assignment,test/unittest/uritest.cpp:311
Uri.Resolve,test/unittest/uritest.cpp:322
Uri.Resolve_UTF16,test/unittest/uritest.cpp:503
Uri.Equals,test/unittest/uritest.cpp:685
Uri.Match,test/unittest/uritest.cpp:697
Uri.Issue1899,test/unittest/uritest.cpp:714
Value.Size,test/unittest/valuetest.cpp:26
Value.DefaultConstructor,test/unittest/valuetest.cpp:38
Value.MoveConstructor,test/unittest/valuetest.cpp:96
Value.AssignmentOperator,test/unittest/valuetest.cpp:121
Value.EqualtoOperator,test/unittest/valuetest.cpp:180
Value.CopyFrom,test/unittest/valuetest.cpp:283
Value.Swap,test/unittest/valuetest.cpp:288
Value.Null,test/unittest/valuetest.cpp:304
Value.True,test/unittest/valuetest.cpp:327
Value.False,test/unittest/valuetest.cpp:358
Value.Int,test/unittest/valuetest.cpp:384
Value.Uint,test/unittest/valuetest.cpp:455
Value.Int64,test/unittest/valuetest.cpp:512
Value.Uint64,test/unittest/valuetest.cpp:576
Value.Double,test/unittest/valuetest.cpp:628
Value.Float,test/unittest/valuetest.cpp:660
Value.IsLosslessDouble,test/unittest/valuetest.cpp:697
Value.IsLosslessFloat,test/unittest/valuetest.cpp:722
Value.String,test/unittest/valuetest.cpp:732
Value.SetStringNull,test/unittest/valuetest.cpp:882
Value.Array,test/unittest/valuetest.cpp:1080
Value.ArrayHelper,test/unittest/valuetest.cpp:1134
Value.ArrayHelperRangeFor,test/unittest/valuetest.cpp:1196
Value.Object,test/unittest/valuetest.cpp:1493
Value.ObjectHelper,test/unittest/valuetest.cpp:1515
Value.ObjectHelperRangeFor,test/unittest/valuetest.cpp:1571
Value.EraseMember_String,test/unittest/valuetest.cpp:1609
Value.BigNestedArray,test/unittest/valuetest.cpp:1627
Value.BigNestedObject,test/unittest/valuetest.cpp:1648
Value.RemoveLastElement,test/unittest/valuetest.cpp:1690
Value.AllocateShortString,test/unittest/valuetest.cpp:1725
Value.AcceptTerminationByHandler,test/unittest/valuetest.cpp:1761
Value.Sorting,test/unittest/valuetest.cpp:1786
Value.MergeDuplicateKey,test/unittest/valuetest.cpp:1830
Value.SSOMemoryOverlapTest,test/unittest/valuetest.cpp:1860
Writer.Compact,test/unittest/writertest.cpp:30
Writer.Root,test/unittest/writertest.cpp:54
Writer.Int,test/unittest/writertest.cpp:64
Writer.UInt,test/unittest/writertest.cpp:70
Writer.Int64,test/unittest/writertest.cpp:78
Writer.Uint64,test/unittest/writertest.cpp:83
Writer.String,test/unittest/writertest.cpp:88
Writer.Issue_889,test/unittest/writertest.cpp:103
Writer.ScanWriteUnescapedString,test/unittest/writertest.cpp:116
Writer.Double,test/unittest/writertest.cpp:129
Writer.Transcode,test/unittest/writertest.cpp:160
Writer.OStreamWrapper,test/unittest/writertest.cpp:221
Writer.AssertRootMayBeAnyValue,test/unittest/writertest.cpp:236
Writer.AssertIncorrectObjectLevel,test/unittest/writertest.cpp:255
Writer.AssertIncorrectArrayLevel,test/unittest/writertest.cpp:263
Writer.AssertIncorrectEndObject,test/unittest/writertest.cpp:271
Writer.AssertIncorrectEndArray,test/unittest/writertest.cpp:278
Writer.AssertObjectKeyNotString,test/unittest/writertest.cpp:285
Writer.AssertMultipleRoot,test/unittest/writertest.cpp:306
Writer.RootObjectIsComplete,test/unittest/writertest.cpp:328
Writer.RootArrayIsComplete,test/unittest/writertest.cpp:342
Writer.RootValueIsComplete,test/unittest/writertest.cpp:356
Writer.InvalidEncoding,test/unittest/writertest.cpp:377
Writer.ValidateEncoding,test/unittest/writertest.cpp:406
Writer.InvalidEventSequence,test/unittest/writertest.cpp:433
Writer.NaN,test/unittest/writertest.cpp:484
Writer.NaNToNull,test/unittest/writertest.cpp:503
Writer.Inf,test/unittest/writertest.cpp:515
Writer.InfToNull,test/unittest/writertest.cpp:539
Writer.RawValue,test/unittest/writertest.cpp:557
Writer.MoveCtor,test/unittest/writertest.cpp:617
Write.RawValue_Issue1152,test/unittest/writertest.cpp:571
